ID,Movie name,Movie languages,Movie countries,Movie genres,Movie release year,averageRating,numVotes,winner,nominated,Movie release era
8610844,Three Violent People,English Language,United States of America,"['Western', 'Family Drama', 'Drama', 'Period piece']",1956.0,6.3,1463,1,1,
8906793,"Amalio Reyes, un hombre",Spanish Language,Argentina,['Comedy'],,4.5,12,0,0,198.0
5682615,Malibu Express,English Language,United States of America,"['Thriller', 'Parody', 'Detective fiction', 'Indie', 'Detective', 'Mystery', 'Crime Fiction', 'Comedy', 'Action', 'Spy']",1985.0,4.8,2379,0,0,200.0
20500100,Going Straight,Silent film,United States of America,"['Crime Fiction', 'Silent film', 'Black-and-white']",1916.0,6.0,648,0,0,193.0
4453753,Begotten,English Language,United States of America,"['Cult', 'Horror', 'Fantasy', 'Surrealism', 'Supernatural']",1991.0,5.6,11004,0,0,193.0
17884388,Dil Kabaddi,Hindi Language,India,"['World cinema', 'Musical', 'Drama', 'Romantic drama', 'Romance Film', 'Bollywood']",2008.0,5.8,680,0,0,198.0
803276,Gwendoline,French Language,France,"['Thriller', 'World cinema', 'Action/Adventure', 'Erotic thriller', 'Drama', 'Film adaptation', 'Action', 'Sexploitation']",1984.0,5.2,3052,0,0,
3028248,Chances Are,English Language,United States of America,"['Romantic comedy', 'Fantasy', 'Comedy', 'Romance Film', 'Fantasy Comedy', 'Romantic fantasy', 'Religious Film']",1989.0,6.4,12986,0,1,200.0
3432108,Eye of the Tiger,English Language,United States of America,"['Crime Fiction', 'Biker Film', 'Indie', 'Action/Adventure', 'Drama', 'Action']",1986.0,5.6,2135,0,2,192.0
20568858,Amazon,English Language,United States of America,"['Short Film', 'Documentary']",1997.0,8.4,192,0,0,196.0
4501185,Universal Soldier: The Return,English Language,United States of America,"['Action/Adventure', 'Thriller', 'Science Fiction', 'Martial Arts Film', 'Action']",1999.0,4.2,29604,0,0,195.0
2119021,The Canterbury Tales,French Language,France,"['Sex comedy', 'World cinema', 'Period piece', 'Satire', 'Drama', 'Comedy', 'Film adaptation']",1972.0,6.5,220,1,1,198.0
24858468,Premier rendez-vous,French Language,France,['Comedy'],1941.0,6.8,142,0,0,191.0
6836206,Paradise Canyon,English Language,United States of America,"['Action/Adventure', 'Western', 'Action', 'Black-and-white']",1935.0,5.1,944,0,0,200.0
19673886,So Red the Rose,English Language,United States of America,"['Period piece', 'Drama', 'Romance Film']",1935.0,6.5,194,0,0,
142274,The Adventures of Buckaroo Banzai Across the 8th Dimension,English Language,United States of America,"['Cult', 'Parody', 'Science Fiction', 'Adventure', 'Comedy']",1984.0,6.2,26804,0,2,191.0
31250513,The Ballad of the Sad Cafe,English Language,United States of America,"['Romantic drama', 'Romance Film', 'Drama', 'Indie']",1991.0,6.0,791,2,2,193.0
3682299,Starflight: The Plane That Couldn't Land,English Language,United States of America,"['Disaster', 'Thriller', 'Science Fiction']",1983.0,4.8,1136,0,0,199.0
26149260,Dylan Dog: Dead of Night,English Language,United States of America,"['Thriller', 'Mystery', 'Science Fiction', 'Horror', 'Comedy']",2010.0,5.1,15240,0,0,199.0
5049873,Mediterraneo,Greek Language,Italy,"['Romantic comedy', 'World cinema', 'Drama', 'Comedy', 'War film', 'Romance Film']",1991.0,7.4,15493,0,0,195.0
7121282,The Wild Chase,English Language,United States of America,"['Short Film', 'Family Film', 'Animation']",1965.0,6.2,424,0,0,193.0
1217079,The Killing Fields,French Language,United Kingdom,"['Drama', 'Political drama', 'War film']",1984.0,7.8,55960,0,0,192.0
29865278,Bol Radha Bol,Hindi Language,India,"['World cinema', 'Bollywood']",1992.0,6.1,821,0,0,200.0
9497934,I Was Monty's Double,English Language,United Kingdom,"['Drama', 'History', 'War film', 'Comedy-drama', 'Biopic [feature]']",1958.0,6.9,1490,0,0,199.0
12188026,Nicole,English Language,United States of America,"['Thriller', 'Indie', 'Erotic thriller', 'Drama', 'Suspense', 'Crime Thriller']",1988.0,4.3,333,0,1,195.0
12073548,Too Late Blues,English Language,United States of America,"['Musical', 'Drama']",1962.0,6.9,1359,0,0,195.0
418154,Basic Training,English Language,United States of America,"['Parody', 'Sex comedy', 'Comedy', 'Indie']",1985.0,4.1,474,0,0,193.0
9002666,Il diavolo,Italian Language,Italy,"['Sex comedy', 'Comedy of manners', 'World cinema', 'Black-and-white', 'Comedy']",1963.0,6.2,227,0,0,200.0
23691047,Romance on the Range,English Language,United States of America,"['Action/Adventure', 'Western']",1942.0,6.2,116,0,0,197.0
22680762,Vincere,Italian Language,France,"['Thriller', 'Biographical film', 'Melodrama', 'World cinema', 'Historical fiction', 'Political drama', 'Drama', 'Biopic [feature]', 'Romance Film', 'Historical Epic']",2009.0,6.9,5665,0,0,196.0
31303771,The Glitter Dome,English Language,United States of America,"['Crime Fiction', 'Drama']",1984.0,5.7,328,0,1,196.0
9555242,The Cheetah Girls: One World,English Language,United States of America,"['Family Film', 'Drama', 'Comedy']",2008.0,4.6,4547,0,0,200.0
16252413,The Barbarian,English Language,United States of America,"['Romance Film', 'Drama', 'Black-and-white']",1933.0,4.9,22,0,0,194.0
28903478,Handsome Harry,English Language,United States of America,"['LGBT', 'Crime Fiction', 'Indie', 'Road movie', 'Gay', 'Gay Interest', 'Drama', 'Gay Themed']",2009.0,6.1,2177,0,0,199.0
32635381,Red Dog,English Language,Australia,"['Family Film', 'Drama', 'Comedy']",2011.0,6.8,500,0,1,198.0
14416508,At the Max,English Language,United States of America,"['Music', 'Concert film', 'Rockumentary', 'Documentary']",1991.0,7.5,391,0,0,199.0
9401987,Twist Around the Clock,English Language,United States of America,"['Dance', 'Musical']",1961.0,4.8,240,0,0,201.0
5876575,K2,English Language,United Kingdom,"['Action/Adventure', 'Sports', 'Drama', 'Adventure', 'Film adaptation']",1992.0,6.2,6894,0,0,197.0
4403780,The Great Impostor,English Language,United States of America,"['Drama', 'Comedy-drama', 'Comedy', 'Docudrama', 'Biopic [feature]']",1961.0,7.0,1427,2,10,200.0
